SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,Date,IsHoliday
43659,1,4911-403C-98,1,1,1,2024.99,2/5/2010,No
43659,2,4911-403C-98,3,2,1,2024.99,2/12/2010,No
43659,3,4911-403C-98,1,3,1,2024.99,2/19/2010,No
43659,4,4911-403C-98,1,4,1,2039.99,2/26/2010,No
43659,5,4911-403C-98,1,316,1,2039.99,3/5/2010,Yes
43659,6,4911-403C-98,2,317,1,2039.99,3/12/2010,No
43659,7,4911-403C-98,1,318,1,2039.99,3/19/2010,No
43659,8,4911-403C-98,3,319,1,28.84,3/26/2010,No
43659,9,4911-403C-98,1,320,1,28.84,4/2/2010,No
43659,10,4911-403C-98,6,321,1,5.7,4/9/2010,No
43659,11,4911-403C-98,2,322,1,5.19,4/16/2010,No
43659,12,4911-403C-98,4,323,1,20.19,4/23/2010,No
43659,13,4911-403C-98,1,324,1,2039.99,4/30/2010,No
43659,14,4911-403C-98,1,325,12,2024.99,5/7/2010,No
43659,15,4911-403C-98,2,326,13,2039.99,5/14/2010,No
43660,16,6431-4D57-83,1,327,1,419.46,5/21/2010,No
43660,17,6431-4D57-83,1,328,1,874.79,5/28/2010,No
43661,18,4E0A-4F89-AE,1,329,1,809.76,6/4/2010,No
43661,19,4E0A-4F89-AE,1,330,1,714.7,6/11/2010,No
43661,20,4E0A-4F89-AE,2,331,1,714.7,6/18/2010,Yes
43661,21,4E0A-4F89-AE,4,332,1,5.19,6/25/2010,No
43661,22,4E0A-4F89-AE,4,341,1,28.84,7/2/2010,Yes
43661,23,4E0A-4F89-AE,2,342,1,722.59,7/9/2010,No
43661,24,4E0A-4F89-AE,3,343,1,2024.99,7/16/2010,No
43661,25,4E0A-4F89-AE,2,344,1,2024.99,7/23/2010,No
43661,26,4E0A-4F89-AE,2,345,1,20.19,7/30/2010,Yes
43661,27,4E0A-4F89-AE,2,346,1,818.7,8/6/2010,No
43661,28,4E0A-4F89-AE,4,347,1,2024.99,8/13/2010,No
43661,29,4E0A-4F89-AE,2,348,1,2039.99,8/20/2010,No
43661,30,4E0A-4F89-AE,2,349,1,28.84,8/27/2010,No
43661,31,4E0A-4F89-AE,2,350,1,2024.99,9/3/2010,Yes
43661,32,4E0A-4F89-AE,5,351,1,20.19,9/10/2010,No
43661,33,4E0A-4F89-AE,1,352,1,714.7,9/17/2010,No
43661,34,4E0A-4F89-AE,2,355,1,2024.99,9/24/2010,No
43661,35,4E0A-4F89-AE,2,356,1,2039.99,10/1/2010,No
43662,36,2E53-4802-85,3,357,1,419.46,10/8/2010,No
43662,37,2E53-4802-85,5,358,1,419.46,10/15/2010,No
43662,38,2E53-4802-85,2,359,1,183.94,10/22/2010,No
43662,39,2E53-4802-85,4,360,1,874.79,10/29/2010,No
43662,40,2E53-4802-85,3,361,1,183.94,11/5/2010,No
43662,41,2E53-4802-85,5,362,1,419.46,11/12/2010,No
43662,42,2E53-4802-85,3,363,1,419.46,11/19/2010,No
43662,43,2E53-4802-85,2,364,1,419.46,11/26/2010,Yes
43662,44,2E53-4802-85,1,365,1,2146.96,12/3/2010,No
43662,45,2E53-4802-85,1,366,1,874.79,12/10/2010,No
43662,46,2E53-4802-85,3,367,1,419.46,12/17/2010,No
43662,47,2E53-4802-85,1,368,1,356.9,12/24/2010,Yes
43662,48,2E53-4802-85,6,369,1,874.79,12/31/2010,Yes
43662,49,2E53-4802-85,1,370,3,183.94,1/7/2011,Yes
43662,50,2E53-4802-85,3,371,4,178.58,1/14/2011,No
43662,51,2E53-4802-85,1,372,5,2146.96,1/21/2011,No
43662,52,2E53-4802-85,3,373,6,419.46,1/28/2011,No
43662,53,2E53-4802-85,1,374,7,183.94,2/4/2011,No
43662,54,2E53-4802-85,1,375,8,356.9,2/11/2011,No
43662,55,2E53-4802-85,1,376,9,178.58,2/18/2011,No
43662,56,2E53-4802-85,3,377,13,419.46,2/25/2011,No
43662,57,2E53-4802-85,1,378,11,874.79,3/4/2011,Yes
43662,58,2E53-4802-85,1,379,12,2146.96,3/11/2011,Yes
43662,59,2E53-4802-85,3,380,13,419.46,3/18/2011,Yes
43662,60,2E53-4802-85,3,381,14,419.46,3/25/2011,Yes
